ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","","Copper, miscellaneous, low-grade, old",100.00,4.080000,en,18024,copper,retail
"","",Hartmetall Wendeschneidplatten,7.30,12.680000,de,18017,tungsten carbide,retail
"","","Copper, miscellaneous, low-grade, old",81.50,3.880000,en,18024,copper,retail
"","",Disc drives,0.10,15.570000,en,18055,pc components,retail
"","",Scrap soft lead,45.00,1.270000,en,19556,lead,retail
"","",Hartmetall Bohrer und Fräser,5.70,13.180000,de,18019,tungsten carbide,retail
"","","Bright copper, no 1, Millberry",85.00,4.390000,en,18025,copper,retail
"","","Tin scrap, solder",4.90,3.250000,en,18070,tin,retail
"","",Scrap soft lead,13.30,1.360000,en,19556,lead,retail
"","","Brass, miscellaneous",0.90,2.420000,en,18036,yellow brass,retail
"","","Copper Cable, min. 38% Cu",14.80,1.470000,en,18028,cables,retail
"","","Copper Cable, min. 38% Cu",106.00,1.600000,en,18028,cables,retail
"","",Class 3 circuit boards,53.00,0.210000,en,18045,pcbs,retail
"","","Cast aluminium, new",25.00,1.060000,en,18013,aluminium,retail
"","",Electric motors - large,20.00,0.480000,en,10212,electronics,retail
"","","Bright copper, no 1, Millberry",411.00,4.810000,en,18025,copper,retail
"","",Scrap soft lead,153.10,1.490000,en,19556,lead,retail
"","","E1 - iron and steel, miscellaneous scrap",200.00,0.100000,en,18060,iron and steel,retail
"","","Copper Cable, min. 38% Cu",2.00,1.390000,en,18028,cables,retail
"","",Lead batteries,620.00,0.430000,en,18065,electronics,retail
"","",Modules - mixed materials,6.50,0.870000,en,10139,electronics,retail
"","",Hartmetall Wendeschneidplatten,2.00,12.520000,de,18017,tungsten carbide,retail
"","",Hartmetall Wendeschneidplatten,7.00,12.250000,de,18017,tungsten carbide,retail
"","","Stainless steel, V2a, nirosta, niro",1.90,0.779717,en,18037,stainless steel,retail
"","",Hartmetall Wendeschneidplatten,4.30,12.680000,de,18017,tungsten carbide,retail
"","",Electric motors - large,30.00,0.360000,en,10212,electronics,retail
