fk_material_alias,lower(txt_price_formula)
a0g09000001F4vaAAC,5.95
a0g09000001F4qgAAC,1.98
a0g09000001F4qIAAS,fixed
a0g09000001F4yUAAS,fixed
a0g09000001F4pUAAS,fixed
a0g09000001F4pQAAS,fixed
a0g09000001F4qRAAS,fixed
a0g09000001F4roAAC,"96,9% lme"
a0g09000001F4tYAAS,lme - 105 eur/mt
a0g09000001F4tXAAS,lme +50€/to
a0g09000001FmJ7AAK,lme +60€/to
a0g9N0000000RuBQAU,€915/mt
a0g9N0000000BThQAM,lme cash august + 100€/mt
a0g9N0000000BThQAM,lme cash august + 100€/mt
a0g9N0000000BThQAM,lme cash august + 190€/mt
a0g9N0000000BThQAM,lme cash august + 190€/mt
a0g9N000000067lQAA,1670 €/to
a0g09000001F4qHAAS,2002 €/mt
a0g09000001F4qHAAS,1940 €/mt
a0g09000001F4qgAAC,fixed
a0g09000001F4tYAAS,lme + 110 eur/mt
a0g9N0000001NuqQAE,lme -50 €/mt
a0g9N0000001NuqQAE,lme-15 €/to
a0g09000001F4uSAAS,2.900€/to
a0g09000001F4roAAC,6.670€/to
a0g09000001F4uSAAS,3.500€/to
a0g09000001F4roAAC,7.250€/to
a0g09000001FmGdAAK,bdsv 2/8 -14 eur/mt
a0g9N0000001za1QAA,"bdsv 2/8 + 17,50 eur/mt"
a0g9N0000001zaBQAQ,"bdsv 2/8 + 15,50 eur/mt"
a0g9N0000001zaGQAQ,"bdsv 2/8 + 7,50 eur/mt"
a0g09000001F4rAAAS,1210 €/mt
a0g09000001F4rAAAS,1.260€/to
a0g9N0000001zuhQAA,bdsv 2/8 +30
a0g09000001F4whAAC,bdsv 2/8 +70 eur/mt
a0g9N0000001zuNQAQ,bdsv 2/8 -40 eur/mt
a0g9N0000001zHyQAI,lme - 70 eur/mt
a0g9N0000000WLpQAM,na
a0g09000001F4roAAC,"97,5% lme"
a0g09000001F4qpAAC,1700eu/tn
a0g09000001F4vfAAC,306 €/mt
a0g09000001F4vfAAC,"372,5 €/mt"
a0g09000001F4vWAAS,1810 €/to
a0g9N0000001zL9QAI,lme +160 €/mt
a0g09000001F4rLAAS,80€/mt
a0g09000001F4rLAAS,350€/mt
a0g09000001F4qbAAC,1.810
a0g09000001F4qcAAC,lme -145
a0g09000001F4vfAAC,296 €/mt
a0g09000001F4vfAAC,"372,5 €/mt"
a0g09000001F4vGAAS,320
a0g9N0000001zL9QAI,lme +135 usd
a0g09000001FmHgAAK,lme -28€/mt
a0g09000001F4u6AAC,lme - 540 eur/mt
a0g09000001F4qIAAS,1950 €/to
a0g9N0000002R5WQAU,510
a0g09000001F4tqAAC,lme - 80 eur/mt
a0g09000001FmJ7AAK,lme -28€/mt
a0g9N000000067lQAA,lme +80
a0g9N000000067lQAA,lme +160
a0g09000001F4rJAAS,1430
a0g09000001F4rJAAS,1600 €/mt
a0g9N0000000I9SQAU,1430
a0g09000001F4rqAAC,80
a0g09000001F4rqAAC,180
a0g09000001F4qbAAC,1.700
a0g9N0000000685QAA,lme +135 usd
a0g9N0000000685QAA,lme +135 usd
a0g09000001F4rGAAS,lme flat
a0g9N0000000685QAA,lme + 155 eur
a0g9N0000000685QAA,lme +230 eur/mt
a0g09000001F4rGAAS,1900 €/to
a0g9N0000000lyzQAA,1870 €/to
a0g9N0000001zJ6QAI,bdsv 2/8 -20
a0g9N0000001zIwQAI,bdsv 2/8 +60
a0g9N0000001OUJQA2,bdsv 2/8 +15
a0g09000001F4seAAC,bdsv 5 -10
a0g09000001F4qcAAC,1782 €/to
a0g09000001F4tqAAC,lme -190
a0g09000001F4vuAAC,fixed price
a0g09000001F4qIAAS,1900 €/to
a0g09000001F4twAAC,preis cu lme 91%
a0g09000001F4twAAC,"eur 350,—/t bez cu bei 95% cu und mehr abzüglich 1,0 einheiten"
a0g9N00000025F0QAI,fixed price
a0g09000001F4qIAAS,1950 €/to
a0g09000001FmHpAAK,fixed
a0g09000001F4u5AAC,"lowest cu lme 96,75%"
a0g09000001F4uQAAS,--
a0g09000001F4uQAAS,--
a0g09000001F4tYAAS,lme +100€/mt
a0g09000001F4tYAAS,lme +15€/mt
a0g9N0000000WLpQAM,lme + mb - 335
a0g09000001F4xvAAC,lme + mb -75
a0g09000001F4pSAAS,lme+ mb -335
a0g09000001F4xXAAS,2150 €/to
a0g09000001F4pWAAS,2050 €/to
a0g09000001F4tXAAS,lme -80€/mt
a0g09000001F4vWAAS,1950 €/t
a0g9N0000000BThQAM,2050 €/to
a0g9N0000001NuvQAE,lme -50 €/to
a0g09000001F4vWAAS,1800 €/mt
a0g9N0000000BThQAM,lme + 170 €/mt
a0g9N0000000BThQAM,lme + 100 €/mt
a0g9N0000000BThQAM,"2184,76 €/mt"
a0g9N0000000BThQAM,lme cash sep + 175€/mt
a0g9N0000000I9SQAU,1390
a0g9N00000029RHQAY,570 usd
a0g9N00000029RRQAY,570 usd
a0g09000001F4v0AAC,4880 €/t
a0g09000001F4v0AAC,4975 €/t
a0g09000001F4qIAAS,lme -15 €/to
a0g9N000000047eQAA,"lme plus mb dup rotterdam for p1020, average for the period 9th october – 31 oct., plus 20usd"
a0g9N0000000BThQAM,avg. lme cash sep + 100 €/mt
a0g9N000000047eQAA,lme +150 usd
a0g9N0000000BThQAM,avg. lme cash sep + 175 €/mt
a0g9N00000005fzQAA,fixed price
a0g9N00000005fzQAA,fixed price
a0g9N0000000BThQAM,avg. lme cash sep + 175 €/mt
a0g9N0000000BThQAM,spot 9 oct + 80€/mt
a0g09000001F4qIAAS,"96,5%"
a0g09000001F4vuAAC,450 €/to
a0g09000001F4vuAAC,1140 €/t
a0g9N00000029RHQAY,620 usd
a0g9N00000029RRQAY,620 usd
a0g9N0000000BThQAM,spot 10 oct + 80 /mt
a0g9N0000000BThQAM,avg. lme cash sep + 175 /mt
a0g9N0000002AbmQAE,365
a0g9N0000002AbrQAE,280
a0g09000001F4pXAAS,2160 usd
a0g9N0000000y7HQAQ,65% lowest lme
a0g9N0000000y7HQAQ,5430 usd
a0g09000001F4xWAAS,lme +160 €/t
a0g09000001F4q0AAC,lme +140
a0g9N0000000EVfQAM,na
a0g09000001F4vjAAC,310€/mt
a0g09000001F4vjAAC,382€/mt
a0g09000001F4rJAAS,1400 €/mt
a0g09000001F4vfAAC,301€/mt
a0g09000001F4rJAAS,1230 €/mt
a0g09000001F4vfAAC,382€/mt
a0g09000001F4qIAAS,1940
a0g09000001F4tYAAS,lme + 150 eur/mt
a0g9N0000000BThQAM,avg prev month lme + 190€/mt
a0g09000001F4xWAAS,2050 €/t
a0g09000001F4xWAAS,lme+120 lme average previous month of delivery
a0g9N0000000rADQAY,avg. cash lme sep + 130 €/mt
a0g09000001F4quAAC,fix price
a0g09000001F4quAAC,fix price
a0g9N0000000BThQAM,avg. cash lme sep + 100€/mt
a0g9N0000000BThQAM,avg. cash lme sep + 175€/mt
a0g9N0000000fmfQAA,1890 €/to
a0g09000001F4y4AAC,lme - 305 eur/mt
a0g09000001F4y4AAC,lme - 90 eur/mt
a0g9N0000001zHyQAI,lme + 150 eur/mt
a0g9N000000068AQAQ,lme+105 usd
a0g09000001F4r4AAC,lme
a0g09000001F4r4AAC,lme
a0g9N0000001zL9QAI,lme +130
a0g9N0000001zL9QAI,+115 usd
a0g9N0000000680QAA,lme +120 €/to
a0g9N0000000fmfQAA,1890 €/t
a0g09000001F4qIAAS,2010 €/t
a0g09000001F4qIAAS,2010 €/t
a0g9N00000024GXQAY,95.15% lowest lme
a0g9N00000024GXQAY,96.8% lme 3 months
a0g9N0000002OQ8QAM,bdsv sorte 1 -90
a0g9N0000002OQNQA2,vdm v4a -10
a0g09000001F4ryAAC,vdm v4a -360
a0g9N0000002OIzQAM,cu lme lowest -800
a0g9N0000002OQmQAM,vdm v2a -80
a0g9N0000002OWYQA2,vdm v4a -10
a0g9N0000002OQDQA2,bdsv sorte 1 -90
a0g9N0000002OWiQAM,vdm v2a -30
a0g9N0000002OWnQAM,vdm v2a -460
a0g9N0000002OPyQAM,vdm v2a +50
a0g09000001FmIsAAK,not applicable - stock correction
a0g9N0000001PHPQA2,lme + 110 eur/mt
a0g09000001F4tYAAS,lme + 75 eur/mt
a0g9N0000000Ff6QAE,not applicable - correction
a0g09000001F4tYAAS,lme + 100 eur/mt
a0g9N0000000Ff6QAE,102% lme (m-1)
a0g09000001F4tXAAS,lme -50€/mt
a0g9N0000000Ff1QAE,2016 €/t
a0g9N0000000BThQAM,avg. cash lme oct + 85€/mt
a0g9N0000000BThQAM,avg. cash lme oct + 175€/mt
a0g09000001F4uuAAC,fixed price
a0g09000001F4uuAAC,63% lme
a0g09000001F4pXAAS,lme +70
a0g9N000000068AQAQ,lme+105 usd
a0g9N000000068AQAQ,mb average month of delivery -40usd ; lme in sellers choice
a0g09000001F4vVAAS,1910 €/t
a0g09000001F4vVAAS,1790eu/mt
a0g09000001F4tXAAS,lme -100€/mt
a0g9N0000000fmfQAA,avg. cash lme oct + 80€/mt
a0g9N0000000BThQAM,avg. lme cash oct + 155€/mt
a0g09000001F4tqAAC,lme -396€/mt
