fk_material_alias,lower(txt_price_formula)
a0g09000001F4tLAAS,fixpreis
a0g09000001F4tHAAS,fixpreis
a0g09000001F4tLAAS,fixpreis
a0g09000001FmJ7AAK,lme +120€/mt
a0g09000001FmJ7AAK,lme -40€/mt
a0g9N0000000lyzQAA,93% lme (m-1)
a0g09000001F4pfAAC,94% lme (m-1)
a0g09000001F4rHAAS,90% lme (m-1)
a0g09000001F4pfAAC,1790 €/t
a0g9N0000000lyzQAA,89% lme
a0g09000001FmIxAAK,lme - 150 eur/mt
a0g09000001F4qIAAS,1850 €/t
a0g09000001F4suAAC,fixpreis
a0g09000001F4uSAAS,fixpreis
a0g09000001F4suAAC,fixpreis
a0g09000001F4uSAAS,fixpreis
a0g09000001FmJ2AAK,lme - 145 eur/mt
a0g09000001F4qIAAS,lme +30
a0g09000001F4qHAAS,1 750
a0g09000001F4sRAAS,fixed price
a0g09000001F4sRAAS,fixed price
a0g9N0000001rxqQAA,"93,8% lme (cu)"
a0g9N0000001rxqQAA,lme - 330 eur/mt
a0g09000001F4uOAAS,fixpreis
a0g09000001F4uQAAS,fixpreis
a0g09000001F4uOAAS,fixpreis
a0g09000001F4uQAAS,fixpreis
a0g09000001FmJ7AAK,lme + 120 eur/mt
a0g09000001FmG8AAK,fixed price
a0g9N0000003QufQAE,al lme + mb - 60 usd
a0g9N0000003QufQAE,al lme + mb flat
a0g9N0000000I98QAE,fixed price
a0g09000001F4qpAAC,1560eu/tn
a0g09000001F4qpAAC,1460eu/tn
a0g9N0000000E6oQAE,1 400
a0g9N0000000E6oQAE,fixpreis
a0g09000001F4raAAC,fixpreis
a0g09000001F4raAAC,fixpreis
a0g9N0000003SivQAE,600 mit wko veränderung
a0g09000001F4qHAAS,2 030 €/t
a0g9N0000002nDpQAI,lme -300
a0g9N0000002nDpQAI,1850 €/t
a0g9N000000067qQAA,lme + 55 eur/mt
a0g09000001F4qIAAS,"lme -150 (01.02.24: al lme 2.045,31)"
a0g9N0000003SjFQAU,fixed price
a0g9N0000003LYgQAM,"94,62% lme (cu)"
a0g09000001F4qIAAS,fixpreis
a0g9N0000002OIzQAM,cu lme -360 x (cu-inhalt -1)
a0g9N0000002OPZQA2,900
a0g9N0000002OWdQAM,1 950
a0g09000001F4svAAC,18 300
a0g9N0000002OWYQA2,fixpreis
a0g9N0000002mymQAA,fixpreis
a0g09000001F4svAAC,sn lme x sn gehalt -1.500
a0g9N0000003LYgQAM,"96,5% lme (cu)"
a0g9N0000003VJKQA2,fixpreis
a0g9N0000003VJKQA2,fixpreis
a0g9N0000000E6oQAE,fixpreis
a0g9N0000000E6oQAE,range lead with impurities at a recovery basis (list)
a0g9N0000000E6tQAE,clean lead at 87% lme x 2170.50 usd/mt
a0g9N0000000E6tQAE,lead with impurities at a recovery basis
a0g09000001F4vGAAS,fixed price
a0g09000001F4vGAAS,bdsv -50
a0g9N0000003g5PQAQ,lme - 330 eur/mt
a0g9N0000003RNlQAM,2500 usd/mt
a0g9N0000003RNlQAM,2561 usd/mt
a0g09000001F4r4AAC,900 €/t
a0g09000001F4r4AAC,auf auswertung
a0g9N0000000Ff6QAE,1950€/t
a0g9N0000000Ff6QAE,102% (m-1)
a0g9N0000000MHiQAM,695 €/t
a0g9N0000000MHiQAM,900€/t
a0g09000001F4u6AAC,lme*0.97
a0g9N0000000lyzQAA,1830 €/t
a0g09000001FmJ7AAK,lme - 20
a0g09000001F4roAAC,lme -280 (lowest of the 4 official lme)
a0g09000001F4roAAC,lme - 280
a0g9N0000001zJrQAI,spot
a0g09000001F4qHAAS,1 920
a0g09000001F4uzAAC,5 060 €/t
a0g09000001F4uzAAC,"[(58%*cullme) +(42%*znllme) ]*93,5% = fix 20/02 cu 7747.73 zn 2154.10 = 5047,50"
a0g09000001F4rHAAS,1920 €/t
a0g09000001F4rHAAS,lme -20
a0g09000001F4xWAAS,lme+160
a0g9N000000047eQAA,2100 usd/mt
a0g9N000000047eQAA,2142.50 usd/mt
a0g9N000000047eQAA,"2,100 usd/mt"
a0g9N000000047eQAA,"2,142.50 usd/mt"
a0g9N0000001ztjQAA,bdsv 2/8 - 40 euro/mt
a0g9N0000002a6zQAA,-40
a0g9N0000003aO3QAI,97.5% lowest lme cu average previous month of delivery
a0g9N00000024GXQAY,96.9% lme 3 months
a0g9N00000024GXQAY,95.5% lowest lme (eur)
a0g09000001F4pUAAS,lme-90
a0g09000001F4vuAAC,1160 €/t
a0g09000001F4vuAAC,1375 eur/ mt
a0g9N0000000BTmQAM,1900
a0g9N0000001zIwQAI,bdsv 2/8 +130
a0g09000001FmHkAAK,lme+mb (avg chosen day) -250
a0g9N0000000WMEQA2,lme+mb (avg chosen day) -250
a0g09000001F4wyAAC,me+mb (avg chosen day) -490
a0g9N0000002i5PQAQ,400
a0g9N0000002i5ZQAQ,550
a0g9N0000002i55QAA,350
a0g9N0000003SiqQAE,fixed price
a0g09000001F4tqAAC,lme -80€/mt
a0g09000001F4tqAAC,lme -65€/mt
a0g09000001F4vjAAC,350€/mt
a0g09000001F4vjAAC,435€/mt
a0g09000001F4v2AAC,(63% lme cu + 37% lme zn)- 530
a0g9N0000003aznQAA,bdsv 2/8 -10
a0g9N0000003azxQAA,bdsv 2/8 +20
a0g9N0000003b0MQAQ,bdsv 2/8 -80
a0g9N0000001rxqQAA,lme - 900
a0g9N0000000fmfQAA,avg. lme cash feb. + 65€/mt
a0g9N0000000fmfQAA,lme jan - 60 €/mt
a0g09000001F4v2AAC,spot
a0g9N0000003eesQAA,spot
a0g9N0000003eeYQAQ,lme - 790
a0g9N0000003eeJQAQ,lme - 790€/t
a0g9N0000003eeiQAA,lme - 790
a0g9N0000003eeOQAQ,lme - 790
a0g09000001F4vjAAC,350€/mt
a0g9N0000000y7CQAQ,lme-530
a0g9N0000000y7lQAA,-900
a0g09000001F4v2AAC,lme-530
a0g9N0000001rxqQAA,lme-900
a0g9N000000047jQAA,"metal bulletin rotterdam, aluminum low-high premium,  p1020a, duty un- paid, ingot, usd per tonne” averaged over the quotational  period  minus  70  usd"
a0g9N000000047jQAA,"metal bulletin rotterdam, aluminum low-high premium,  p1020a, duty un- paid, ingot, usd per tonne” averaged over the quotational  period  minus  70  usd"
a0g9N000000047jQAA,"metal bulletin rotterdam, aluminum low-high premium,  p1020a, duty un- paid, ingot, usd per tonne” averaged over the quotational  period  plus 5  usd"
a0g9N000000067qQAA,lme +140
a0g09000001FmIxAAK,lme - 190 eur/mt
a0g09000001FmIxAAK,lme - 90 eur/mt
a0g09000001F4vjAAC,435€/mt
a0g09000001F4tXAAS,lme - 25 eur/mt
a0g09000001F4tXAAS,lme + 117 eur/mt
a0g9N0000002nDpQAI,1820 €/t
a0g09000001F4rFAAS,lme jan. + 65 €/mt
a0g9N0000003feqQAA,lme - 100eu/mt
a0g9N0000003feqQAA,lme - 245eu/mt
a0g09000001F4wjAAC,fixpreis
a0g09000001F4wjAAC,fixpreis
a0g09000001F4xrAAC,5780 usd/mt
a0g9N0000000685QAA,lme +150
a0g9N0000000685QAA,lme +100
a0g09000001F4tqAAC,not applicable - stock correction
a0g09000001F4vjAAC,355
a0g09000001F4pTAAS,lme -90
a0g09000001F4twAAC,fixpreis
a0g09000001F4twAAC,fixpreis
a0g9N0000000wieQAA,lme -90€/mt
a0g09000001F4rHAAS,1925 €/t
a0g09000001F4suAAC,lme - 80 eur/mt
a0g9N0000003fvJQAQ,"2,018.12 usd/mt"
a0g9N0000000685QAA,lme + 20
a0g09000001F4xrAAC,"5,530 usd/mt"
a0g9N0000003LYgQAM,"94,62% lme (cu)"
a0g9N000000047eQAA,"2,423 usd/mt"
a0g9N0000003LYgQAM,"96,5% lme (cu)"
a0g9N000000047eQAA,2471.51 usd/mt
a0g09000001F4pRAAS,"95,5% m-1 of loading"
a0g9N0000003g4MQAQ,5520 usd/mt
a0g9N0000003g4MQAQ,"5,620 usd/mt"
a0g09000001F4vGAAS,fixed price
a0g9N00000029RCQAY,fixed price
a0g9N0000003g5UQAQ,"pay 97.50%;  of the final copper content of the raw material at the london metal exchange cash settlement quotation for grade “a” copper as published in the fastmarkets in us$ and the quotational period, if the copper is more than 99.50%.  the buyer has r"
a0g9N0000000Ff1QAE,1 950
a0g9N0000000Ff6QAE,102% m-1
a0g09000001F4rHAAS,lme -20
a0g09000001F4rnAAC,"cu € lme 96,4%"
a0g09000001F4rnAAC,lme -110€/mt
a0g9N00000029RCQAY,fixed price
a0g9N00000029RCQAY,fixed price
a0g09000001F4sqAAC,fixpreis
a0g09000001F4sqAAC,fixed price
a0g9N000000047jQAA,2420 usd/mt
a0g9N000000047jQAA,"2,464.47 usd/mt (convert to eur)"
a0g9N000000047jQAA,"2,464.47 usd/mt (convert to eur)"
a0g9N000000047jQAA,"2,464.47 usd/mt (convert to eur)"
a0g09000001F4pTAAS,lme +40
a0g9N0000000BTmQAM,2090
a0g9N0000001zaGQAQ,-90
a0g09000001F4pTAAS,lme -90 €/t
a0g09000001F4rnAAC,lme - 225 eur/mt
a0g9N0000003aLnQAI,fixpreis: 1600 eur/mt
a0g09000001F4uHAAS,lme - 225 (minus handling costs: 85eur/h)
a0g09000001F4tvAAC,lme - 650 eur/mt
a0g09000001F4tXAAS,7 600
a0g09000001F4tXAAS,lme +70€/mt
a0g09000001F4tXAAS,lme-100 eur/mt
a0g09000001F4tYAAS,lme flat eur/mt
a0g09000001F4pTAAS,lme-20
a0g9N0000002nDpQAI,1790 €/t
a0g9N0000000FewQAE,lme +120 usd
a0g9N0000000Ff1QAE,lme +152.5
a0g9N0000000Ff1QAE,lme +152.5
a0g09000001F4tLAAS,fixpreis
a0g09000001F4tLAAS,fixpreis
a0g9N0000001zHyQAI,fixpreis
a0g9N0000001zHyQAI,fixpreis
a0g09000001F4uzAAC,5000 €/t
a0g09000001F4uwAAC,4250 €/t
a0g09000001F4uzAAC,5085 €/to
a0g09000001F4uwAAC,4320 €/t
a0g9N0000000lyzQAA,98%
a0g09000001F4pTAAS,103%
a0g09000001F4syAAC,"68% pb lme bei 75%pb+sb, fe/steel: 0,50% max balance: copper,brass,sand as per photos(lme lowest 04.03.2024)"
a0g9N0000000E6tQAE,"84% pb lme, pb + sb 75% min fe/steel: 0,50% max balance: copper,brass,sand as per photos"
a0g09000001F4raAAC,fixpreis
a0g09000001F4raAAC,fixpreis
a0g09000001F4qbAAC,fixpreis
a0g09000001F4qbAAC,fixpreis
a0g09000001F4qlAAC,1540
a0g09000001F4qQAAS,lme -150
a0g9N0000002nDpQAI,lme-250
a0g09000001F4pmAAC,lme-550
a0g09000001F4qlAAC,1340eu/mt
a0g09000001F4rJAAS,1390
a0g9N0000003hPbQAI,96
a0g9N0000003hPlQAI,100
a0g09000001F4v6AAC,fixpreis
a0g09000001F4v6AAC,fixpreis
a0g9N0000000Ff1QAE,1 950
a0g09000001F4tHAAS,17 000
a0g9N0000000FewQAE,102% lme (m-1) eur/mt
a0g09000001F4tHAAS,fixpreis
a0g09000001F4vjAAC,358
a0g9N0000001OUTQA2,fixpreis
a0g09000001F4qHAAS,not applicable - correction
a0g09000001F4uLAAS,1 200
a0g09000001F4uLAAS,fixpreis
a0g09000001F4qIAAS,1950 €/t
a0g09000001F4qIAAS,2020 €/t
a0g09000001F4q0AAC,lme +120 €/t
a0g09000001F4q0AAC,lme+120
a0g9N0000003QufQAE,lme+60 usd
a0g9N0000003QufQAE,lme +90 €/t
a0g9N0000002nDpQAI,1810 €/t
a0g9N0000002nDpQAI,1810 €/t
a0g09000001F4tqAAC,fixpreis
a0g09000001F4sHAAS,spot
a0g09000001F4rqAAC,spot
a0g9N0000003aFGQAY,spot
a0g09000001F4qPAAS,spot
a0g09000001F4uNAAS,spot
a0g9N0000001s2GQAQ,spot
a0g09000001F4pnAAC,spot
a0g09000001F4vVAAS,spot
a0g09000001F4wjAAC,spot
a0g9N0000000y7lQAA,spot
a0g09000001F4tkAAC,spot
a0g09000001F4uMAAS,spot
a0g9N0000000y7CQAQ,spot
a0g09000001F4sSAAS,spot
a0g09000001F4toAAC,spot
a0g9N0000003iCGQAY,spot
a0g9N0000003iCLQAY,spot
a0g9N0000003iCVQAY,spot
a0g09000001F4sfAAC,fixpreis
a0g09000001F4sgAAC,fixpreis
a0g9N0000000fl2QAA,1390
a0g09000001F4uzAAC,fixpreis 4.400€/t
a0g09000001F4uzAAC,fixpreis 4850€/t
a0g9N0000002OQNQA2,-10
a0g9N0000000jv0QAA,-25
a0g09000001F4ryAAC,-360
a0g9N0000002mymQAA,-80
a0g9N0000002n6UQAQ,lme-800
a0g09000001F4seAAC,-20
a0g09000001F4rKAAS,1130
a0g9N0000002OWnQAM,-460
a0g09000001FmG8AAK,-30
a0g9N0000002OPyQAM,50
a0g9N0000002OWYQA2,-10
a0g09000001F4tYAAS,lme - 225
a0g09000001F4qaAAC,-265
a0g9N0000001zHyQAI,100% lme (lme flat)
a0g9N0000003LYgQAM,"94,62% lme (cu)"
a0g9N0000003LYgQAM,"96,5% lme (cu)"
a0g09000001F4pRAAS,1 850
a0g09000001F4vjAAC,361
a0g09000001F4sqAAC,fixed price
a0g09000001F4pxAAC,lme + 45eu/mt
a0g09000001F4sqAAC,fixed price
a0g09000001F4s7AAC,fixpreis
a0g09000001F4vjAAC,435€/mt
a0g09000001F4qHAAS,1 980
a0g09000001F4vjAAC,370€/mt
a0g9N0000001zIwQAI,bdsv 2/8 +68
a0g09000001F4vjAAC,350
a0g09000001F4vjAAC,348
a0g09000001F4s7AAC,fixpreis
a0g09000001F4vjAAC,435€/mt
a0g9N0000000685QAA,l. lme + 160$
a0g09000001F4rJAAS,1415eu/tn
a0g09000001F4rJAAS,1500eu/tn
a0g09000001F4vKAAS,ni lme 70% vom 15.03.24
a0g09000001F4vKAAS,fixpreis
a0g9N0000003aO8QAI,fixprice
a0g09000001F4v2AAC,fixprice
a0g09000001F4tqAAC,lme -90€/mt
a0g09000001F4tqAAC,fixpreis
a0g09000001F4tqAAC,cu lme spot 18.03.24 8.200 €/t -300 €/t
a0g09000001F4tqAAC,lme -70€/mt
a0g09000001F4qPAAS,88% lme
a0g09000001F4r1AAC,1 725
a0g09000001F4qzAAC,1 450
a0g09000001F4qzAAC,1 000
a0g09000001F4r1AAC,1 750
a0g09000001F4r1AAC,3 100
a0g09000001F4r1AAC,fixpreis
a0g09000001F4qzAAC,fixpreis
a0g09000001F4r1AAC,fixpreis
a0g09000001F4qzAAC,fixpreis
a0g09000001F4r1AAC,fixpreis
a0g09000001F4tuAAC,6 700
a0g09000001F4tuAAC,fixpreis
a0g09000001F4swAAC,sn lme x sn gehalt - 1.50€/kg
a0g09000001F4swAAC,sn lme x sn gehalt - 4€/kg
a0g09000001F4tpAAC,cu lme -395
a0g09000001F4tpAAC,cu lme -190
a0g9N0000000WM9QAM,lme +30
a0g09000001F4pmAAC,69% lme
a0g09000001F4piAAC,1 700
a0g09000001F4piAAC,1 650
a0g09000001F4vjAAC,316€/mt
a0g09000001F4tuAAC,fixpreis
a0g09000001F4tuAAC,fixpreis
a0g09000001F4pTAAS,lme +50 €/t
a0g09000001F4piAAC,fixpreis
a0g09000001F4piAAC,fixpreis
a0g09000001F4vjAAC,350€/mt
a0g9N000000047jQAA,"2,458.51 usd/mt"
a0g9N000000047jQAA,"2,410 usd/mt"
a0g9N000000047eQAA,"2,458.51 usd/mt"
a0g9N000000047jQAA,"2,458.51 usd/mt"
a0g9N000000047jQAA,"2,458.51 usd/mt"
a0g9N000000047jQAA,"2,458.51 usd/mt"
a0g9N000000047jQAA,"2,410 usd/mt"
a0g09000001FmHkAAK,lme -180
a0gOj000000Stb3IAC,lme (cu) - 210 eur/mt
a0g9N0000003LYgQAM,lme (cu) - 580 eur/mt
a0g9N00000032v6QAA,tauschgeschäft
a0g9N00000032v6QAA,lme + 228 usd/mt or lme + 261 usd/mt (if spot fixation)
a0g09000001F4uZAAS,"94,6% lme (cu)"
a0g09000001F4uZAAS,lme - 330 eur/mt
a0g09000001F4wYAAS,fixpreis
a0g09000001F4qqAAC,fixpreis
a0g09000001F4wYAAS,fixpreis
a0g09000001F4qqAAC,fixpreis
a0g09000001F4vfAAC,"media cash settlement lme de los últimos 5 días (19/03-25/03) *0.87 = 2066,16* 0.87"
a0g09000001F4vfAAC,1870eu/tn
a0g09000001F4qpAAC,83.5% lme
a0g09000001F4tkAAC,(lme - 500) * cu% - 350
a0g9N0000003LYgQAM,"96,5% lme lowest (cu)"
a0g09000001F4vVAAS,1 200
a0g9N0000000685QAA,1 800
a0g9N0000003LYgQAM,"94,62%*lme (cu)"
a0g9N0000003LYgQAM,"96,5% lme lowest"
a0g9N00000029RHQAY,570 usd/mt
a0g9N0000000lyzQAA,2050 €/t
a0g9N0000000lyzQAA,98%
a0g09000001F4vjAAC,370
a0g09000001F4pRAAS,"2,044.03 usd/mt"
a0g09000001F4swAAC,"sn lme x sn gehalt - 3,50 €/kg"
a0g09000001F4vjAAC,355€/mt
a0g09000001F4swAAC,"sn lme x sn gehalt - 1,50 €/kg"
a0g9N0000003SigQAE,550 mit wko veränderung
a0g9N0000000685QAA,lme +150 or lme -70 if with iron
a0g9N0000000jCgQAI,cu lme -455€/mt x (cu inhalt -1eh)
a0g09000001F4qpAAC,91% lme
a0g9N0000000lyzQAA,2035 €/t
a0g9N0000000lyzQAA,2045 €/t
a0g9N0000002nDpQAI,1960 €/t
a0g09000001F4t8AAC,97% official lme 03/04
a0g09000001F4vjAAC,310
a0g09000001F4t8AAC,100% lme official 03/04/24
a0g09000001F4piAAC,fixed price
a0g09000001F4qaAAC,fixpreis
a0g09000001F4v0AAC,fixpreis
a0g09000001F4v0AAC,fixpreis
a0g09000001F4vjAAC,435€/mt
a0g09000001F4tqAAC,fixpreis
a0g09000001F4qIAAS,fixpreis
a0g09000001F4tqAAC,fixpreis
a0g9N0000001zuNQAQ,bdsv 2/8 +120 vormonat
a0g9N0000002z9nQAA,lme + 100 usd
a0g9N0000000685QAA,lme +170 €
a0g09000001F4xjAAC,0
a0g09000001F4xjAAC,- 60
a0g09000001F4uZAAS,lme - 330 eur/mt
a0g09000001F4uZAAS,"94,6% lme (cu) eur/mt"
a0g09000001F4vfAAC,1 805
a0g09000001F4vfAAC,1870eu/tn
a0g09000001F4tkAAC,fixed price base copper content min. 96%
a0gOj000000U8D3IAK,cu lme -420 x cu inhalt -1
a0g09000001F4vjAAC,355
a0g9N0000003LYgQAM,"94,6% lme (cu)"
a0g09000001F4pTAAS,1950 €/t
a0g09000001F4vjAAC,435€/mt
a0g09000001F4piAAC,lme -25
a0g09000001F4raAAC,fixpreis
a0g09000001F4piAAC,fixpreis
a0g09000001F4raAAC,fixpreis
a0g09000001F4peAAC,lme -50
a0g09000001F4swAAC,23 000
a0g09000001F4swAAC,"sn lme x sn gehalt - 1,50 €/kg"
a0g9N0000003g4MQAQ,5620 usd/mt
a0gOj000000YG7BIAW,"1,975 usd/mt"
a0gOj000000YG7BIAW,1775 usd/mt
a0gOj000000YGtZIAW,510 usd/mt
a0gOj000000YG7BIAW,2160 usd/mt
a0gOj000000YG7BIAW,1830 eur/mt
a0gOj000000YGrxIAG,508 usd/mt
a0g9N0000003g4MQAQ,5520 usd/mt
a0gOj000000YGtZIAW,545 usd/mt
a0gOj000000YGrxIAG,550 usd/mt
a0g09000001F4yAAAS,7767.76 usd/mt
a0g09000001F4rZAAS,fixed price
a0g09000001F4raAAC,fixpreis
a0g09000001F4vjAAC,310€/mt
a0g09000001F4vjAAC,359€/mt
a0g09000001F4vjAAC,435€/mt
a0g9N0000002nDkQAI,lme*0.87
a0g09000001F4pIAAS,lme*0.93
a0g09000001F4rsAAC,fixpreis
a0g09000001F4rsAAC,fixpreis 270€/t
a0g9N000000047eQAA,2500 usd/mt
a0g9N000000047jQAA,"2,536 usd/mt"
a0g9N000000047eQAA,"2,410 usd/mt"
a0g9N000000047eQAA,"2,444.64 usd/mt"
a0g09000001F4qWAAS,1 700
a0g09000001F4qWAAS,1850 € / mt. fixprice
a0g09000001F4vjAAC,345€/mt
a0g09000001F4vjAAC,435€/mt
a0g9N0000003g5UQAQ,lme -390€/mt
a0g09000001F4swAAC,98% sn lme x sn gehalt - 4.000
a0g09000001F4swAAC,98% sn lme x sn gehalt - 1.575
a0g09000001F4tpAAC,0
a0g09000001F4tpAAC,"fixpreis, 8400€/t"
a0g09000001F4rFAAS,2220 €/t
a0g09000001F4uzAAC,5670 €/t
a0g09000001F4rHAAS,1520 € / mt.
a0g09000001F4vjAAC,345€/mt
a0g09000001F4rHAAS,1 300
a0g09000001F4rFAAS,"1,4"
a0g09000001F4ptAAC,900
a0g09000001F4rGAAS,1660 € / mt.
a0g09000001F4puAAC,1100 €/ mt.
a0g09000001F4rFAAS,lme flat
a0g09000001F4vjAAC,435€/mt
a0g09000001F4uzAAC,5780 €/t
a0g09000001F4tXAAS,lme +55€/mt
a0g9N0000002OPZQA2,fixpreis
a0g9N0000002OPZQA2,fixed price
a0g09000001F4pTAAS,lme-90 €/t average month of delivery
a0g09000001F4pRAAS,lme-140
a0g9N0000000jCgQAI,"cu lme minus eur 340,00 / t basis 93 % cu-inhalt minus 1 einheit"
a0g9N0000003LYgQAM,"96,5% lme (cu)"
a0g9N0000003LYgQAM,"94,62% lme (cu)"
a0g9N0000001zuSQAQ,bdsv 2/8 +40
a0g09000001FmHkAAK,lme-100
a0g09000001F4vuAAC,1230 €/t
a0gOj000000blhVIAQ,0.64 usd/lb
a0gOj000000blhVIAQ,0.63 usd/lb
a0g09000001F4qIAAS,2250 €/t
a0g09000001F4qpAAC,1760eu/tn
a0g09000001F4qpAAC,1900eu/tn
a0g9N0000002nDpQAI,2240 €/t
a0g9N0000003b07QAA,bdsv 2/8 +56
a0g9N0000003b07QAA,bdsv 2/8 +85
a0g09000001F4pTAAS,lme-90 €/t average month of delivery
a0g09000001F4tXAAS,lme - 100 eur/mt
a0g09000001F4wiAAC,"fixpreis, 420€/t"
a0g9N0000001ry0QAA,"lme - 330€/mt * (cu%-0,5%)"
a0g09000001FmHkAAK,lme flat
a0g09000001F4tXAAS,lme +55€/mt
a0g9N0000001rxqQAA,"93,2% cu lme"
a0gOj000000cf29IAA,"94,6% cu lme"
a0gOj000000cf29IAA,lme - 330€/mt
a0g09000001F4rqAAC,bdsv 1 -100
a0g09000001F4q0AAC,90% lme
a0g09000001F4qIAAS,2400 €/t
a0g09000001F4q0AAC,lme flat
a0g9N0000000fl2QAA,1630 €/mt
a0g09000001F4qHAAS,1 950
a0g09000001F4tXAAS,"98,75% cu lme"
a0g9N0000000Y6KQAU,fixed price
a0g9N0000000Y6KQAU,fixed price
a0g9N0000002OQNQA2,fixpreis
a0g9N0000000BThQAM,2400 €/mt
a0gOj000000djN3IAI,104% lme lowest official 29/04
a0g9N0000000fl2QAA,1 300
a0g9N0000000fl2QAA,1520 €/mt
a0g09000001F4roAAC,"cu lme 96,4%"
a0g09000001F4roAAC,lme -110€/mt
a0g09000001F4qPAAS,fixed price
a0g09000001F4qPAAS,1 420
a0g09000001F4pXAAS,2 120
a0g09000001F4r3AAC,970
a0g09000001F4pzAAC,2 120
a0g9N0000000685QAA,2 170
a0g09000001F4pXAAS,fixed price
a0g09000001F4r3AAC,fixed price
a0g09000001F4pzAAC,fixed price
a0g9N0000000685QAA,fixed price
a0gOj000000djN3IAI,lme lowest official 30/04 - 60€/mt
a0gOj000000e6ebIAA,"6,385 usd/mt"
a0gOj000000e6ebIAA,"6,490 usd/mt"
a0gOj000000YG7BIAW,"1,830 usd/mt"
a0g09000001F4vjAAC,365€/mt
a0g9N0000003aF6QAI,1580eu/tn
a0g9N0000003aF6QAI,80% lme
a0g09000001F4r2AAC,fixpreis
a0g09000001F4r2AAC,fixpreis
a0g09000001F4r1AAC,fixpreis
a0g09000001F4r1AAC,fixpreis
a0g09000001F4qzAAC,fixpreis
a0g09000001F4r0AAC,fixpreis
a0g09000001F4wkAAC,18 000
a0g09000001F4vjAAC,350€/mt
a0g09000001F4wkAAC,18 000
a0g09000001F4tHAAS,21200
a0g09000001F4tLAAS,21000
a0g09000001F4wjAAC,20800
a0g09000001F4wjAAC,"21,00 eur/kg"
a0g09000001F4tLAAS,"21,75 eur/kg"
a0g09000001F4tHAAS,"22,15 eur/kg"
a0g09000001F4wjAAC,"22,15 eur/kg für bohrer; 21,75 eur/kg für wendeplatten"
a0g9N0000003fvJQAQ,"2,296.27 usd/mt"
a0g09000001F4vjAAC,430€/mt
a0g9N0000003g5PQAQ,"≥96 % : cu inhalt - 1 einheiten @ lmeo -  abschlag 390,00 eur/t zahlbar cu oder ≥98 % : cu inhalt - 1 einheiten @ lmeo -  abschlag 290,00 eur/t zahlbar cu"
a0gOj000000fYddIAE,fixed price
a0g09000001F4vjAAC,345€/mt
a0g09000001F4qpAAC,1740eu/mt
a0g09000001F4qpAAC,1870eu/tn
a0g9N0000000jCgQAI,"(lme - 455) * (cu%-1%) basis: 92% cu  (lme - 460) * (cu%-1%) basis: 91% cu  (lme - 465) * (cu%-1%) basis: 90% cu  (lme - 480) * (cu%-1,5%) basis: 89% cu  (lme - 495) * (cu%-1,5%) basis: 88% cu"
a0g09000001F4vjAAC,305€/mt
a0gOj000000blhVIAQ,"1,460 usd/mt"
a0gOj000000blhVIAQ,1400
a0g09000001F4vjAAC,429€/mt
a0g09000001F4vjAAC,430€/mt
a0g9N0000000lyzQAA,91% lme
a0g09000001F4qyAAC,bdsv+80
a0g09000001F4pfAAC,94%
a0g09000001F4pfAAC,1850 €/t
a0g09000001F4pfAAC,1900 €/t
a0g9N0000003aznQAA,bdsv 2/8 +25
a0g09000001F4xWAAS,2400
a0g09000001F4xVAAS,2300
a0g09000001F4xVAAS,lme 101.5%
a0g09000001F4vuAAC,1480€/mt
a0g09000001F4usAAC,fixpreis
a0g09000001F4usAAC,180
a0g9N0000000BThQAM,lme official 13/05 + 140€/mt
a0gOj000000hqszIAA,480 usd/mt
a0gOj000000hqszIAA,450 usd/mt
a0g09000001F4vxAAC,"3,200 usd/mt"
a0gOj000000hqubIAA,"3,675 usd/mt"
a0gOj000000hqrNIAQ,"9,910 usd/mt"
a0g09000001F4vxAAC,"3,120 usd/mt"
a0gOj000000hqubIAA,"3,600 usd/mt"
a0gOj000000hqplIAA,"1,430 usd/mt"
a0gOj000000hqplIAA,"1,550 usd/mt"
a0gOj000000hqrNIAQ,"10,050 usd/mt"
a0g09000001F4qIAAS,2200 €/t
a0g09000001F4vjAAC,351€/mt
a0g09000001F4qpAAC,1930eu/tn
a0g09000001F4vjAAC,335€/mt
a0g09000001F4vjAAC,427€/mt
a0g09000001F4vjAAC,350€/mt
a0g09000001F4rZAAS,"fixpreis, 635€/t"
a0g09000001F4vjAAC,430€/mt
a0g09000001F4rZAAS,600
a0g09000001F4vjAAC,337
a0gOj000000cf29IAA,"94,6% lme"
a0g9N0000001ry0QAA,"93,6% lme"
a0gOj000000cf29IAA,lme - 320€/mt
a0g9N0000001ry0QAA,"(lme - 320) * (cu% - 0,5%)"
a0g09000001F4rZAAS,fixed price
a0g09000001F4qaAAC,fixpreis
a0g09000001F4raAAC,fixpreis
a0g09000001F4qIAAS,2250 €/t
a0g09000001F4vjAAC,325
a0g09000001F4qpAAC,2040eu/tn
a0g09000001F4vuAAC,1330€/mt
a0g09000001F4vjAAC,340
a0g09000001F4vjAAC,305
a0g09000001F4peAAC,2200 €/t
a0g09000001F4peAAC,90.5% lme
a0g09000001F4vjAAC,427€/mt
a0g09000001F4vjAAC,430€/mt
a0g09000001F4vjAAC,427€/mt
a0g09000001FmIxAAK,lme-215 eur/mt
a0g09000001FmIxAAK,lme - 70 eur/mt
a0g9N000000047eQAA,"2,806.21 usd/mt"
a0g9N000000047jQAA,"2,740 usd/mt"
a0g09000001F4qcAAC,lme -100
